,NOUN,.,NUM,ADJ,VERB,DET,ADP,CONJ,X,ADV,PRT,PRON
pierre,6.626776073440271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vinken,7.796207145223849e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
",",0.0,0.4182107335790377,0.0,0.0,0.0,0.0,0.0,0.0,0.0001287664177182591,0.0,0.0,0.0
61,0.0,0.0,0.0005373455131649651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
years,0.003555070458222075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001287664177182591,0.0,0.0,0.0
old,3.1184828580895395e-05,0.0,0.0,0.0057126460767946575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will,0.0003547274251076851,0.0,0.0,0.0,0.015048968866948006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
join,0.0,0.0,0.0,0.0,0.0003583087825463811,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the,1.9490517863059623e-05,0.0,5.9705057018329455e-05,6.521285475792988e-05,0.0,0.5293727238691671,0.0,0.0,0.00038629925315477725,0.0,0.0,0.0
board,0.0011265519324848462,0.0,0.0,0.0,1.3270695649865965e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,0.0,0.0,0.0,0.04251732388676548,0.0,0.0001287664177182591,0.020926656415056494,0.0,0.0
a,0.0004677724287134309,0.0,0.0,2.6085141903171954e-05,0.0,0.16899526905142778,7.76855908766042e-06,0.0,0.0012876641771825909,0.0,0.0,0.0
nonexecutive,0.0,0.0,0.0,6.521285475792988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
director,0.00048726294657649056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nov.,0.0001754146607675366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0016120365394948952,0.0,0.0,0.0,0.0,0.0,0.0001287664177182591,0.0,0.0,0.0
.,0.0,0.330615438986217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mr.,0.0040501296119437894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
