,NOUN,.,NUM,ADJ,VERB,DET,ADP,CONJ,X,ADV,PRT,PRON,END
START,0.17161574471621285,0.08706130024099056,0.016038336888174843,0.03713193540345143,0.04044209301681394,0.21545109553751973,0.12365308440209412,0.050109415251655076,0.0018005041411595247,0.08555164676878757,0.029652918201711863,0.1414919254314285,0.0
NOUN,0.1683738174255713,0.04221796784272185,0.025682576858227123,0.17347583345076067,0.05912507713762324,0.25878397092336775,0.11988765846618821,0.030235518777848504,0.00123906103468885,0.005551479341694161,0.009535910904223012,0.006557305358088639,0.0993338224789967
.,0.5318657509606737,0.09467234894939089,0.03290307415583354,0.05107922492028452,0.09140708036955278,0.012018641157714005,0.014921102117570108,0.005733382389011528,0.007603630120186411,0.05896901316327365,0.014772913089690132,0.028344984056904585,0.05570885454991415
NUM,0.10528428093645485,0.17541806020066888,0.10157190635451505,0.03367892976588629,0.10080267558528429,0.07043478260869565,0.2246153846153846,0.038528428093645484,0.0006354515050167224,0.03464882943143813,0.029899665551839465,0.004046822742474916,0.08043478260869565
ADJ,0.04563330871491876,0.05060930576070901,0.01297082717872969,0.059564254062038406,0.12980059084194978,0.3637924667651403,0.14435930576070902,0.04935376661742984,0.0010709010339734122,0.08620753323485968,0.014134047267355983,0.011779911373707532,0.03072378138847858
VERB,0.25184003098999563,0.0652095193182201,0.004067436925253478,0.007212753056893589,0.17905985785023748,0.047533432142015025,0.029840502576885506,0.03703641324485465,0.006004311651564658,0.07400545693401152,0.09934062047360798,0.16971233199717048,0.029137332839289924
DET,0.03760601799957236,0.09089200904514147,0.0034923576329720027,0.004172687041992523,0.23989710827604527,0.006421013755612718,0.5073961525752088,0.04409830435993961,0.002390871923129256,0.032105068778063586,0.023079365285058023,0.006388617117087931,0.002060426210176432
ADP,0.49783861256770523,0.06861181942197996,0.017095394604302053,0.05292665097190484,0.21867139428196464,0.008720378055729835,0.02240244976429077,0.018632253311153448,0.005957485998468897,0.05427356084981955,0.016364379414151763,0.017348659709550972,0.0011569610489780178
CONJ,0.48900820352106183,0.28198451470181585,0.018273573601253573,0.08182781823209512,0.06830122591943957,0.0027421882201124526,0.00762743109964052,0.00025347958337173935,0.0023274034473223337,0.024495345193105356,0.008825698221034196,0.014056595077887363,0.0002765231818600793
X,0.11071096654275094,0.04914033457249071,0.08701208178438662,0.020678438661710038,0.3471189591078067,0.0695864312267658,0.04809479553903346,0.004763011152416357,0.14033457249070633,0.009177509293680297,0.005343866171003717,0.02973977695167286,0.0782992565055762
ADV,0.1429655025941321,0.11826815133954306,0.00553718256015049,0.01448769683546224,0.35334809915349374,0.04396371249127704,0.04400922358081252,0.06030219363451561,0.0027306653721290088,0.09584635456172821,0.018295457993264357,0.0468309111320125,0.05341484875147911
PRT,0.2678407084048454,0.07260652190135064,0.014675521727234285,0.05387657637489739,0.3680819839315474,0.007163644504141482,0.05397607143745491,0.025371240952167747,0.03064447926771634,0.04703629082406786,0.00855657537994677,0.03178867248712783,0.018381712807501928
PRON,0.11884477929102676,0.1691490389259152,0.0027238481599536368,0.007340867381435333,0.24168839949773013,0.028494156283202936,0.24553269583695547,0.05890080169999034,0.007282913165266107,0.05876557519559548,0.007263595093209698,0.009659036028204386,0.044354293441514536
